length,white,black,draw,unknown
52,15193,14580,10017,6
40,34135,33824,16852,9
26,27691,20674,15730,12
65,5767,5636,4798,1
25,26045,18868,16048,7
24,23539,16243,15678,9
80,1563,1479,1880,1
28,30829,23495,15120,12
30,32977,26432,18388,10
48,18866,17657,11746,6
46,20784,19392,12900,9
51,16033,15356,10563,9
35,32820,28001,14501,10
32,33620,27666,15856,12
69,4041,3869,3615,0
38,30925,27234,13113,5
9,1382,887,7056,2
62,7149,6746,5580,4
33,33047,27754,15253,12
41,35142,27148,21064,7
29,31623,24792,15123,13
42,27597,24081,17078,8
36,31794,27707,14087,14
21,16816,11119,16121,10
55,12846,12143,8575,4
59,10047,9933,7468,4
77,1835,1791,1924,0
47,19584,18350,12313,11
44,23335,21320,14040,9
60,12276,12072,9859,4
49,17548,16636,11330,7
63,6629,6247,5348,2
12,2597,1894,11126,2
39,30174,28103,12684,7
19,11940,7626,14400,13
20,14388,9921,16159,6
56,12043,11813,8589,4
53,14228,13803,9582,5
18,9905,6483,13877,7
31,32979,27069,17659,14
37,31663,27747,13529,9
27,29156,21947,15389,12
11,2048,1469,10725,4
43,24972,22183,15078,8
16,6359,4507,13393,10
57,11418,10899,8121,7
58,10504,10296,7713,5
61,8169,7418,6248,0
50,17409,16312,11265,4
45,21618,20408,13214,6
6,574,437,2794,0
54,13536,12998,9136,3
22,18963,12780,15687,9
23,21309,14680,15819,17
34,32782,28035,14796,7
15,5135,3509,13319,5
68,4429,4129,3906,2
17,8490,5752,13815,8
13,3286,2246,11930,7
10,1725,1207,11015,2
72,3104,2916,2958,1
84,859,869,885,0
91,439,416,541,0
66,5391,5087,4497,3
75,2343,2241,2343,0
74,2543,2346,2461,2
8,1018,705,5906,2
67,4697,4665,4189,1
88,559,541,711,0
14,4224,2990,12579,6
76,2045,1954,2075,2
79,1575,1393,1622,1
104,120,114,221,0
70,3686,3633,3612,0
64,6167,5922,5016,0
100,202,195,366,0
71,3349,3189,2996,1
81,1203,1157,1329,0
86,671,646,818,0
73,2847,2819,2620,1
110,71,64,168,0
78,1635,1608,1761,1
94,314,288,414,0
82,983,1003,1136,0
5,293,266,1828,4
7,810,615,4530,3
89,495,479,702,2
83,902,853,1099,0
90,475,416,615,0
87,644,605,769,0
117,37,25,92,0
108,87,83,178,0
103,136,141,228,0
134,11,4,28,0
98,186,175,328,0
3,95,72,322,0
101,145,135,298,0
85,715,732,890,0
93,323,285,475,1
112,50,58,131,1
105,101,108,224,0
4,334,235,986,2
99,177,200,288,0
95,276,275,393,0
97,206,229,352,0
102,130,139,218,0
107,80,88,166,1
116,39,25,92,0
132,8,15,43,0
115,59,45,103,0
109,70,68,156,0
92,400,314,491,1
139,9,6,21,0
96,254,220,377,0
114,47,38,112,0
135,13,7,28,0
120,29,31,96,1
1,37,38,22,0
106,89,83,163,0
158,3,1,2,0
141,6,7,17,0
111,62,50,135,0
121,20,24,62,1
126,17,15,48,0
146,4,3,15,0
137,11,4,22,0
113,40,48,98,0
138,6,3,21,0
119,26,24,102,0
128,12,19,38,0
150,4,5,8,0
220,0,0,1,0
159,4,2,13,0
131,10,6,47,0
118,32,35,88,0
130,13,11,43,0
123,21,31,48,0
125,11,16,57,0
133,5,9,40,0
136,9,6,20,0
143,8,4,10,0
165,1,0,4,0
152,0,1,9,0
129,11,8,37,0
156,5,1,8,0
172,1,1,1,0
147,4,3,5,0
124,12,23,54,0
127,11,22,43,0
122,22,19,49,0
180,0,0,4,0
148,3,0,10,0
2,24,21,26,0
144,2,2,17,0
153,2,1,8,0
149,3,0,11,0
164,1,1,4,0
177,0,0,2,0
155,3,1,8,0
140,4,2,19,0
145,2,0,21,0
175,1,1,3,0
237,0,1,0,0
154,3,0,12,0
161,1,2,8,0
142,7,1,16,0
200,0,0,2,0
162,1,1,5,0
192,0,0,1,0
166,0,0,3,0
168,0,1,1,0
151,1,2,12,0
199,0,1,0,0
213,0,0,1,0
157,3,3,3,0
163,2,0,8,0
173,1,0,0,0
228,0,0,1,0
197,0,0,2,0
176,1,1,2,0
178,0,0,1,0
160,1,1,3,0
169,0,1,2,0
207,0,0,1,0
167,1,1,0,0
174,0,0,2,0
189,0,0,1,0
194,0,1,0,0
204,0,0,1,0
227,0,0,1,0
183,1,1,3,0
186,0,1,0,0
239,1,0,0,0
171,0,1,1,0
184,0,0,1,0
170,0,0,1,0
195,0,0,1,0
