length,white,black,draw,unknown
53,15084,12370,9947,1
35,33601,25248,15412,7
34,32862,24870,15820,7
29,28554,20973,15776,6
41,38344,25189,23345,5
47,20834,16746,12847,2
63,7226,5939,5593,3
52,16015,13151,10542,5
33,32905,24705,16121,5
59,10462,8782,7766,2
20,10168,7105,18323,9
13,1938,1422,13607,2
32,31954,24221,16972,12
43,26276,20338,15835,7
70,4149,3343,3781,2
27,24905,17947,16558,13
17,5477,3710,15592,5
23,16303,11187,16982,10
37,32592,25163,14364,6
39,32044,26019,13183,8
48,19726,15997,12407,11
9,682,579,9149,4
24,18668,12743,16945,10
38,32127,25245,13865,9
44,24471,19074,14926,5
46,21995,17425,13547,6
15,3204,2313,16053,3
57,12148,9746,8670,3
54,14543,11664,9676,4
30,30439,22317,20111,12
49,18863,15299,11746,3
25,20830,14717,17309,4
58,11130,9325,8374,4
22,13970,9592,17294,11
55,13323,11117,9147,4
16,4156,2787,15994,5
84,956,778,1147,0
45,22978,18365,14278,10
28,27052,19580,15995,13
74,2811,2330,2683,1
42,29647,21965,18669,8
26,23281,16304,16807,11
31,31707,22835,19349,12
21,12177,8080,17426,3
18,6679,4475,15950,4
64,6397,5331,5460,5
40,36855,31919,18234,5
62,7669,6162,6045,1
68,4852,3921,4306,2
11,1194,859,13696,3
19,7991,5434,16407,10
36,33047,25310,15034,7
106,102,83,213,0
56,12649,10648,8859,2
14,2508,1777,14685,2
75,2641,2072,2624,1
8,597,533,7515,2
10,952,694,14287,4
69,4382,3664,3988,0
71,3691,2907,3425,1
67,5116,4246,4459,1
61,9191,6797,6859,3
60,12685,11052,10725,1
51,17136,13906,11195,5
50,18089,14893,11813,5
73,3108,2406,2939,0
76,2250,1931,2185,2
72,3327,2759,3114,1
66,5515,4632,4881,4
5,335,309,2110,0
65,6116,4973,5221,1
80,1795,1475,2133,0
85,853,735,1022,1
77,1990,1632,2152,3
90,560,452,760,0
124,24,16,62,0
87,711,565,925,0
12,1516,1098,14015,5
6,372,299,3221,0
150,5,1,18,0
146,4,4,19,0
2,32,29,26,1
79,1733,1366,1872,1
92,452,390,554,0
114,54,61,129,0
142,4,3,16,0
81,1406,1039,1471,1
4,230,202,1083,0
96,328,231,432,0
83,1147,880,1144,1
86,808,656,977,0
98,215,210,346,0
7,448,360,5706,1
88,629,548,856,1
82,1138,950,1264,1
116,39,45,131,0
110,96,66,195,0
3,99,109,323,0
121,36,29,84,0
123,35,22,66,0
89,616,456,746,0
102,161,137,321,0
95,301,281,482,0
100,205,178,431,0
104,146,125,255,0
78,1953,1562,1948,0
111,71,61,162,0
108,82,102,222,0
94,349,283,522,0
109,82,81,194,0
129,16,12,58,0
165,1,1,7,0
103,142,123,270,0
99,235,174,332,0
97,278,205,374,0
101,205,162,331,0
119,27,33,92,0
107,107,84,220,0
91,467,379,637,0
118,43,27,95,0
93,388,321,539,0
125,30,21,57,0
112,76,58,144,0
139,5,4,28,0
147,4,2,19,0
169,2,0,2,0
105,121,100,255,0
136,5,2,36,0
159,1,1,14,0
117,41,41,119,0
113,69,49,148,0
115,47,49,133,0
135,15,9,31,0
141,10,2,17,0
126,14,21,52,0
1,45,52,22,1
160,5,2,10,0
144,3,5,22,0
120,45,35,131,0
155,0,5,7,0
152,6,0,9,0
134,14,8,43,0
143,6,6,23,0
140,6,6,32,0
133,15,11,38,0
154,4,1,7,0
164,0,0,12,0
178,1,0,3,0
127,23,17,47,0
132,11,8,45,0
145,4,5,19,0
174,0,0,4,0
131,8,10,36,0
122,35,28,68,0
156,4,1,7,0
128,20,16,50,0
166,2,1,7,0
137,14,9,20,0
148,6,1,18,0
138,8,7,25,0
153,3,4,14,0
130,17,15,38,0
190,0,0,3,0
158,2,1,8,0
210,0,1,0,0
168,0,2,9,0
163,0,2,4,0
151,5,3,16,0
149,4,3,13,0
157,1,1,6,0
200,0,0,1,0
172,1,0,4,0
162,0,2,1,0
176,1,0,1,0
171,0,2,1,0
170,1,1,4,0
181,2,0,2,0
161,2,0,7,0
180,0,1,4,0
179,0,0,3,0
194,0,0,4,0
186,0,1,2,0
213,0,0,2,0
192,0,0,1,0
204,0,0,2,0
167,1,0,4,0
196,1,0,0,0
184,0,0,3,0
177,0,0,4,0
211,0,1,0,0
185,0,0,4,0
208,0,0,1,0
201,0,0,1,0
227,0,0,1,0
232,0,0,1,0
173,1,0,1,0
182,0,0,2,0
183,0,2,0,0
195,0,0,1,0
197,0,0,1,0
187,0,0,1,0
