length,white,black,draw,unknown
53,29312,26173,19529,6
35,66421,53249,29913,17
52,31208,27731,20559,11
40,70990,65743,35086,14
34,65644,52905,30616,14
29,60177,45765,30899,19
41,73486,52337,44409,12
26,50972,36978,32537,23
47,40418,35096,25160,13
65,11883,10609,10019,2
63,13855,12186,10941,5
25,46875,33585,33357,11
24,42207,28986,32623,19
80,3358,2954,4013,1
28,57881,43075,31115,25
30,63416,48749,38499,22
48,38592,33654,24153,17
33,65952,52459,31374,17
46,42779,36817,26447,15
59,20509,18715,15234,6
20,24556,17026,34482,15
51,33169,29262,21758,14
13,5224,3668,25537,9
32,65574,51887,32828,24
69,8423,7533,7603,0
43,51248,42521,30913,15
38,63052,52479,26978,14
9,2064,1466,16205,6
70,7835,6976,7393,2
62,14818,12908,11625,5
27,54061,39894,31947,25
42,57244,46046,35747,16
17,13967,9462,29407,13
23,37612,25867,32801,27
36,64841,53017,29121,21
37,64255,52910,27893,15
39,62218,54122,25867,15
21,28993,19199,33547,13
55,26169,23260,17722,8
77,3825,3423,4076,3
44,47806,40394,28966,14
60,24961,23124,20584,5
49,36411,31935,23076,10
12,4113,2992,25141,7
19,19931,13060,30807,23
56,24692,22461,17448,6
18,16584,10958,29827,11
15,8339,5822,29372,8
31,64686,49904,37008,26
57,23566,20645,16791,10
54,28079,24662,18812,7
58,21634,19621,16087,9
22,32933,22372,32981,20
16,10515,7294,29387,15
11,3242,2328,24421,7
84,1815,1647,2032,0
45,44596,38773,27492,16
74,5354,4676,5144,3
61,17360,14215,13107,3
50,35498,31205,23078,9
6,946,736,6015,0
64,12564,11253,10476,5
68,9281,8050,8212,4
106,191,166,376,0
14,6732,4767,27264,8
10,2677,1901,25302,6
75,4984,4313,4967,1
8,1615,1238,13421,4
72,6431,5675,6072,2
91,906,795,1178,0
66,10906,9719,9378,7
71,7040,6096,6421,2
67,9813,8911,8648,2
88,1188,1089,1567,1
76,4295,3885,4260,4
79,3308,2759,3494,2
104,266,239,476,0
73,5955,5225,5559,1
100,407,373,797,0
81,2609,2196,2800,1
86,1479,1302,1795,0
5,628,575,3938,4
110,167,130,363,0
85,1568,1467,1912,1
90,1035,868,1375,0
78,3588,3170,3709,1
124,36,39,116,0
87,1355,1170,1694,0
94,663,571,936,0
150,9,6,26,0
82,2121,1953,2400,1
146,8,7,34,0
7,1258,975,10236,4
89,1111,935,1448,2
2,56,50,52,1
83,2049,1733,2243,1
92,852,704,1045,1
114,101,99,241,0
142,11,4,32,0
117,78,66,211,0
108,169,185,400,0
4,564,437,2069,2
96,582,451,809,0
103,278,264,498,0
134,25,12,71,0
98,401,385,674,0
3,194,181,645,0
101,350,297,629,0
93,711,606,1014,1
112,126,116,275,1
105,222,208,479,0
116,78,70,223,0
0,499,468,246,0
121,56,53,146,1
99,412,374,620,0
123,56,53,114,0
102,291,276,539,0
95,577,556,875,0
111,133,111,297,0
97,484,434,726,0
109,152,149,350,0
129,27,20,95,0
165,2,1,11,0
107,187,172,386,1
132,19,23,88,0
119,53,57,194,0
115,106,94,236,0
139,14,10,49,0
118,75,62,183,0
125,41,37,114,0
135,28,16,59,0
120,74,66,227,1
147,8,5,24,0
169,2,1,4,0
1,82,90,44,1
136,14,8,56,0
158,5,2,10,0
159,5,3,27,0
113,109,97,246,0
141,16,9,34,0
126,31,36,100,0
137,25,13,42,0
160,6,3,13,0
144,5,7,39,0
138,14,10,46,0
155,3,6,15,0
128,32,35,88,0
152,6,1,18,0
220,0,0,1,0
131,18,16,83,0
143,14,10,33,0
130,30,26,81,0
140,10,8,51,0
133,20,20,78,0
154,7,1,19,0
164,1,1,16,0
178,1,0,4,0
127,34,39,90,0
145,6,5,40,0
174,0,0,6,0
122,57,47,117,0
156,9,2,15,0
172,2,1,5,0
166,2,1,10,0
180,0,1,8,0
148,9,1,28,0
153,5,5,22,0
149,7,3,24,0
177,0,0,6,0
190,0,0,3,0
175,1,1,3,0
237,0,1,0,0
210,0,1,0,0
161,3,2,15,0
168,0,3,10,0
163,2,2,12,0
151,6,5,28,0
200,0,0,3,0
162,1,3,6,0
192,0,0,2,0
157,4,4,9,0
176,2,1,3,0
171,0,3,2,0
170,1,1,5,0
181,2,0,2,0
199,0,1,0,0
213,0,0,3,0
173,2,0,1,0
179,0,0,3,0
194,0,1,4,0
228,0,0,1,0
186,0,2,2,0
197,0,0,3,0
204,0,0,3,0
167,2,1,4,0
196,1,0,0,0
184,0,0,4,0
211,0,1,0,0
185,0,0,4,0
208,0,0,1,0
201,0,0,1,0
227,0,0,2,0
232,0,0,1,0
207,0,0,1,0
189,0,0,1,0
182,0,0,2,0
183,1,3,3,0
239,1,0,0,0
195,0,0,2,0
187,0,0,1,0
